3LC;ORIGIN;3LC;id;Provinsi;DEST;REGPACK;SLA;JAGOPACK;SLA;BIGPACK/10 KG;SLA
CGK;JAKARTA;RTI;19;Nusa Tenggara Timur;ROTE;  67,200 ;02-04;60,400;02-06;148,500;11-22
CGK;JAKARTA;RTG;19;Nusa Tenggara Timur;RUTENG;  66,400 ;04-05;64,000;04-07;0;0
CGK;JAKARTA;TMC;19;Nusa Tenggara Timur;WAIKABUBAK;  62,400 ;04-05;59,200;04-07;166,500;15-25
CGK;JAKARTA;WGP;19;Nusa Tenggara Timur;WAINGAPU;  62,400 ;02-04;56,800;07-10;157,500;15-25
CGK;JAKARTA;KTG;20;Kalimantan Barat;KETAPANG;  40,000 ;03-05;28,400;11-16;198,000;08-12
CGK;JAKARTA;MWI;20;Kalimantan Barat;MELAWI;  28,400 ;02-03;17,600;07-13;85,500;09-15
CGK;JAKARTA;PNK;20;Kalimantan Barat;PONTIANAK;  28,400 ;01-02;17,600;06-12;85,500;08-14
CGK;JAKARTA;SBS;20;Kalimantan Barat;SAMBAS;  28,400 ;02-03;17,600;07-13;85,500;09-15
CGK;JAKARTA;SGU;20;Kalimantan Barat;SANGGAU;  28,400 ;02-03;17,600;07-13;85,500;09-15
CGK;JAKARTA;SKW;20;Kalimantan Barat;SINGKAWANG;  28,400 ;04-05;17,600;09-16;85,500;11-18
CGK;JAKARTA;PKY;21;Kalimantan Tengah;PALANGKARAYA;  36,800 ;02-03;32,000;02-05;103,500;09-11
CGK;JAKARTA;PKN;21;Kalimantan Tengah;PANGKALAN BUN;  40,800 ;03-04;33,600;03-06;189,000;14-20
CGK;JAKARTA;SMQ;21;Kalimantan Tengah;SAMPIT;  43,200 ;02-04;39,600;03-06;175,500;14-20
CGK;JAKARTA;BJB;22;Kalimantan Selatan;BANJARBARU;  31,200 ;02-03;16,800;09-14;81,000;11-16
CGK;JAKARTA;BDJ;22;Kalimantan Selatan;BANJARMASIN;  31,200 ;02-03;16,800;08-11;103,500;10-13
CGK;JAKARTA;MAR;22;Kalimantan Selatan;BARITO KUALA;  31,200 ;03-04;16,800;09-12;81,000;11-14
CGK;JAKARTA;HSS;22;Kalimantan Selatan;HULU SUNGAI SELATAN;  31,200 ;03-04;16,800;09-12;81,000;11-14
CGK;JAKARTA;KBU;22;Kalimantan Selatan;KOTABARU;  47,200 ;02-04;42,800;03-05;175,500;13-20
CGK;JAKARTA;TJG;22;Kalimantan Selatan;TABALONG;  31,200 ;03-05;16,800;09-14;81,000;11-16
CGK;JAKARTA;BTW;22;Kalimantan Selatan;TANAH BUMBU;  31,200 ;02-04;16,800;09-14;81,000;11-16
CGK;JAKARTA;TAL;22;Kalimantan Selatan;TANAH LAUT;  31,200 ;03-05;16,800;09-14;81,000;11-16
CGK;JAKARTA;TAP;22;Kalimantan Selatan;TAPIN;  31,200 ;03-04;16,800;09-12;81,000;11-14
CGK;JAKARTA;BPN;23;Kalimantan Timur;BALIKPAPAN;  37,600 ;02-03;17,600;08-13;90,000;10-15
CGK;JAKARTA;BEJ;23;Kalimantan Timur;BERAU;  54,400 ;03-05;43,200;05-10;163,800;13-22
CGK;JAKARTA;KTR;23;Kalimantan Timur;KUTAI TIMUR;  43,200 ;03-05;40,800;05-10;90,000;09-17
CGK;JAKARTA;TNB;23;Kalimantan Timur;PASER;  37,600 ;03-05;17,600;09-16;81,000;11-18
CGK;JAKARTA;SRI;23;Kalimantan Timur;SAMARINDA;  43,200 ;02-03;40,800;05-10;112,500;09-16
CGK;JAKARTA;TJS;24;Kalimantan Utara;TANJUNG SELOR;  55,200 ;04-05;50,000;05-06;247,500;15-22
CGK;JAKARTA;TRK;24;Kalimantan Utara;TARAKAN;  56,000 ;02-03;49,600;02-05;135,000;14-19
CGK;JAKARTA;BTG;25;Sulawesi Utara;BITUNG;  45,600 ;03-04;24,000;15-22;148,500;17-24
CGK;JAKARTA;AMB;25;Sulawesi Utara;KOTAMOBAGU;  45,600 ;02-04;24,000;16-22;135,000;18-24
CGK;JAKARTA;MDC;25;Sulawesi Utara;MANADO;  45,600 ;02-03;24,000;14-19;148,500;16-21
CGK;JAKARTA;MNA;25;Sulawesi Utara;MELONGUANE;  48,800 ;08-10;43,600;08-12;198,000;17-26
CGK;JAKARTA;TDZ;25;Sulawesi Utara;MINAHASA;  45,600 ;03-05;24,000;15-22;148,500;17-24
CGK;JAKARTA;TZD;25;Sulawesi Utara;MINAHASA SELATAN;  45,600 ;03-04;24,000;16-22;135,000;18-24
CGK;JAKARTA;MDU;25;Sulawesi Utara;MINAHASA UTARA;  45,600 ;02-04;24,000;15-22;148,500;17-24
CGK;JAKARTA;TMN;25;Sulawesi Utara;TOMOHON;  45,600 ;02-04;24,000;15-22;148,500;17-24
CGK;JAKARTA;LUW;26;Sulawesi Tengah;LUWUK;  56,000 ;03-05;52,400;04-06;128,700;14-20
CGK;JAKARTA;MOH;26;Sulawesi Tengah;MOROWALI;  56,000 ;03-05;50,000;03-07;184,500;14-20
CGK;JAKARTA;PLW;26;Sulawesi Tengah;PALU;  49,600 ;02-03;45,600;02-05;117,000;12-18
CGK;JAKARTA;PSJ;26;Sulawesi Tengah;POSO;  56,400 ;02-04;52,000;02-06;226,800;13-21
CGK;JAKARTA;TLI;26;Sulawesi Tengah;TOLI TOLI;  55,200 ;03-04;50,400;03-06;154,800;13-21
CGK;JAKARTA;BGN;27;Sulawesi Selatan;BANTAENG;  32,000 ;03-04;16,000;08-13;90,000;10-15
CGK;JAKARTA;BRR;27;Sulawesi Selatan;BARRU;  32,000 ;03-04;16,000;08-13;81,000;10-15
CGK;JAKARTA;BSX;27;Sulawesi Selatan;BONE;  32,000 ;02-04;16,000;08-15;90,000;10-17
CGK;JAKARTA;BLK;27;Sulawesi Selatan;BULUKUMBA;  32,000 ;03-05;16,000;09-15;81,000;11-17
